Province,Livestock_Raised,profession,gender,count_registered_farmers
KALINGA,Deer elk reindeer,Farmer only,Female,0
KALINGA,Goats,Farmer only,Female,35
KALINGA,Horses,Farmer only,Female,9
KALINGA,Pigs or swine,Farmer only,Female,"1,481"
KALINGA,Rabbits and hares,Farmer only,Female,2
KALINGA,Sheep,Farmer only,Female,0
MASBATE,Buffaloes (Carabaos),Farmer only,Female,"1,004"
MASBATE,Cattle,Farmer only,Female,499
MASBATE,Goats,Farmer only,Female,617
MASBATE,Horses,Farmer only,Female,200
MASBATE,Pigs or swine,Farmer only,Female,"3,455"
MASBATE,Rabbits and hares,Farmer only,Female,1
MASBATE,Sheep,Farmer only,Female,0
MOUNTAIN PROVINCE,Bees,Farmer only,Female,1
MOUNTAIN PROVINCE,Buffaloes (Carabaos),Farmer only,Female,82
MOUNTAIN PROVINCE,Cattle,Farmer only,Female,40
MOUNTAIN PROVINCE,Deer elk reindeer,Farmer only,Female,0
MOUNTAIN PROVINCE,Goats,Farmer only,Female,7
MOUNTAIN PROVINCE,Horses,Farmer only,Female,0
MOUNTAIN PROVINCE,Pigs or swine,Farmer only,Female,"1,975"
MOUNTAIN PROVINCE,Rabbits and hares,Farmer only,Female,4
MOUNTAIN PROVINCE,Sheep,Farmer only,Female,0
MOUNTAIN PROVINCE,Silkworms,Farmer only,Female,0
COTABATO (NORTH COTABATO),Asses,Farmer only,Female,3
COTABATO (NORTH COTABATO),Bees,Farmer only,Female,1
COTABATO (NORTH COTABATO),Buffaloes (Carabaos),Farmer only,Female,"1,006"
COTABATO (NORTH COTABATO),Camels/Llamas and alpacas,Farmer only,Female,7
COTABATO (NORTH COTABATO),Cattle,Farmer only,Female,"1,595"
COTABATO (NORTH COTABATO),Deer elk reindeer,Farmer only,Female,2
COTABATO (NORTH COTABATO),Dogs and cats,Farmer only,Female,0
COTABATO (NORTH COTABATO),Fur-bearing animals such as foxes and minks,Farmer only,Female,9
COTABATO (NORTH COTABATO),Goats,Farmer only,Female,"1,652"
COTABATO (NORTH COTABATO),Horses,Farmer only,Female,112
COTABATO (NORTH COTABATO),Mules and hinnies,Farmer only,Female,0
COTABATO (NORTH COTABATO),Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
COTABATO (NORTH COTABATO),Other equines (e.g. zebras),Farmer only,Female,4
COTABATO (NORTH COTABATO),Other worms or insects,Farmer only,Female,1
COTABATO (NORTH COTABATO),Pigs or swine,Farmer only,Female,"4,074"
COTABATO (NORTH COTABATO),Rabbits and hares,Farmer only,Female,4
COTABATO (NORTH COTABATO),Sheep,Farmer only,Female,2
COTABATO (NORTH COTABATO),Silkworms,Farmer only,Female,1
COTABATO (NORTH COTABATO),Yaks,Farmer only,Female,4
NORTHERN SAMAR,Buffaloes (Carabaos),Farmer only,Female,126
NORTHERN SAMAR,Cattle,Farmer only,Female,30
NORTHERN SAMAR,Dogs and cats,Farmer only,Female,0
NORTHERN SAMAR,Goats,Farmer only,Female,13
NORTHERN SAMAR,Horses,Farmer only,Female,1
NORTHERN SAMAR,Pigs or swine,Farmer only,Female,816
NORTHERN SAMAR,Sheep,Farmer only,Female,0
ROMBLON,Asses,Farmer only,Female,1
ROMBLON,Bees,Farmer only,Female,0
ROMBLON,Buffaloes (Carabaos),Farmer only,Female,101
ROMBLON,Camels/Llamas and alpacas,Farmer only,Female,1
ROMBLON,Cattle,Farmer only,Female,492
ROMBLON,Goats,Farmer only,Female,612
ROMBLON,Horses,Farmer only,Female,1
ROMBLON,Other equines (e.g. zebras),Farmer only,Female,1
ROMBLON,Pigs or swine,Farmer only,Female,"1,533"
ROMBLON,Rabbits and hares,Farmer only,Female,1
ROMBLON,Sheep,Farmer only,Female,1
ROMBLON,Yaks,Farmer only,Female,0
SAMAR (WESTERN SAMAR),Buffaloes (Carabaos),Farmer only,Female,130
SAMAR (WESTERN SAMAR),Cattle,Farmer only,Female,7
SAMAR (WESTERN SAMAR),Deer elk reindeer,Farmer only,Female,0
SAMAR (WESTERN SAMAR),Fur-bearing animals such as foxes and minks,Farmer only,Female,0
SAMAR (WESTERN SAMAR),Goats,Farmer only,Female,37
SAMAR (WESTERN SAMAR),Horses,Farmer only,Female,0
SAMAR (WESTERN SAMAR),Pigs or swine,Farmer only,Female,598
SAMAR (WESTERN SAMAR),Rabbits and hares,Farmer only,Female,0
SAMAR (WESTERN SAMAR),Sheep,Farmer only,Female,0
SIQUIJOR,Buffaloes (Carabaos),Farmer only,Female,29
SIQUIJOR,Cattle,Farmer only,Female,"1,228"
SIQUIJOR,Goats,Farmer only,Female,966
SIQUIJOR,Horses,Farmer only,Female,2
SIQUIJOR,Pigs or swine,Farmer only,Female,"1,591"
SIQUIJOR,Rabbits and hares,Farmer only,Female,1
SIQUIJOR,Sheep,Farmer only,Female,1
SULTAN KUDARAT,Asses,Farmer only,Female,0
SULTAN KUDARAT,Bees,Farmer only,Female,0
SULTAN KUDARAT,Buffaloes (Carabaos),Farmer only,Female,160
SULTAN KUDARAT,Camels/Llamas and alpacas,Farmer only,Female,0
SULTAN KUDARAT,Cattle,Farmer only,Female,202
SULTAN KUDARAT,Deer elk reindeer,Farmer only,Female,1
SULTAN KUDARAT,Fur-bearing animals such as foxes and minks,Farmer only,Female,0
SULTAN KUDARAT,Goats,Farmer only,Female,320
SULTAN KUDARAT,Horses,Farmer only,Female,45
SULTAN KUDARAT,Mules and hinnies,Farmer only,Female,0
SULTAN KUDARAT,Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
SULTAN KUDARAT,Other equines (e.g. zebras),Farmer only,Female,1
SULTAN KUDARAT,Pigs or swine,Farmer only,Female,749
SULTAN KUDARAT,Rabbits and hares,Farmer only,Female,0
SULTAN KUDARAT,Sheep,Farmer only,Female,2
SULTAN KUDARAT,Yaks,Farmer only,Female,0
SURIGAO DEL NORTE,Buffaloes (Carabaos),Farmer only,Female,327
SURIGAO DEL NORTE,Cattle,Farmer only,Female,36
SURIGAO DEL NORTE,Goats,Farmer only,Female,83
SURIGAO DEL NORTE,Horses,Farmer only,Female,3
SURIGAO DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmer only,Female,14
SURIGAO DEL NORTE,Pigs or swine,Farmer only,Female,"1,243"
SURIGAO DEL NORTE,Rabbits and hares,Farmer only,Female,1
SURIGAO DEL NORTE,Sheep,Farmer only,Female,0
SURIGAO DEL NORTE,Silkworms,Farmer only,Female,0
SURIGAO DEL SUR,Buffaloes (Carabaos),Farmer only,Female,303
SURIGAO DEL SUR,Cattle,Farmer only,Female,46
SURIGAO DEL SUR,Goats,Farmer only,Female,156
SURIGAO DEL SUR,Horses,Farmer only,Female,1
SURIGAO DEL SUR,Mules and hinnies,Farmer only,Female,0
SURIGAO DEL SUR,Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
SURIGAO DEL SUR,Pigs or swine,Farmer only,Female,"1,465"
SURIGAO DEL SUR,Rabbits and hares,Farmer only,Female,2
SURIGAO DEL SUR,Sheep,Farmer only,Female,0
ZAMBOANGA DEL NORTE,Asses,Farmer only,Female,5
ZAMBOANGA DEL NORTE,Bees,Farmer only,Female,0
ZAMBOANGA DEL NORTE,Buffaloes (Carabaos),Farmer only,Female,"2,852"
ZAMBOANGA DEL NORTE,Camels/Llamas and alpacas,Farmer only,Female,3
ZAMBOANGA DEL NORTE,Cattle,Farmer only,Female,"2,170"
ZAMBOANGA DEL NORTE,Deer elk reindeer,Farmer only,Female,2
ZAMBOANGA DEL NORTE,Fur-bearing animals such as foxes and minks,Farmer only,Female,0
ZAMBOANGA DEL NORTE,Goats,Farmer only,Female,"1,488"
ZAMBOANGA DEL NORTE,Horses,Farmer only,Female,391
ZAMBOANGA DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
ZAMBOANGA DEL NORTE,Other equines (e.g. zebras),Farmer only,Female,1
ZAMBOANGA DEL NORTE,Pigs or swine,Farmer only,Female,"7,678"
ZAMBOANGA DEL NORTE,Rabbits and hares,Farmer only,Female,2
ZAMBOANGA DEL NORTE,Sheep,Farmer only,Female,2
ZAMBOANGA DEL NORTE,Silkworms,Farmer only,Female,2
ZAMBOANGA DEL NORTE,Yaks,Farmer only,Female,0
SARANGANI,Asses,Farmer only,Female,0
SARANGANI,Bees,Farmer only,Female,0
SARANGANI,Buffaloes (Carabaos),Farmer only,Female,196
SARANGANI,Camels/Llamas and alpacas,Farmer only,Female,0
SARANGANI,Cattle,Farmer only,Female,329
SARANGANI,Deer elk reindeer,Farmer only,Female,0
SARANGANI,Fur-bearing animals such as foxes and minks,Farmer only,Female,1
SARANGANI,Goats,Farmer only,Female,355
SARANGANI,Horses,Farmer only,Female,149
SARANGANI,Mules and hinnies,Farmer only,Female,1
SARANGANI,Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
SARANGANI,Other equines (e.g. zebras),Farmer only,Female,1
SARANGANI,Other worms or insects,Farmer only,Female,0
SARANGANI,Pigs or swine,Farmer only,Female,"1,212"
SARANGANI,Rabbits and hares,Farmer only,Female,3
SARANGANI,Sheep,Farmer only,Female,3
SARANGANI,Silkworms,Farmer only,Female,0
SARANGANI,Yaks,Farmer only,Female,0
APAYAO,Buffaloes (Carabaos),Farmer only,Female,74
APAYAO,Cattle,Farmer only,Female,18
APAYAO,Deer elk reindeer,Farmer only,Female,1
APAYAO,Goats,Farmer only,Female,16
APAYAO,Horses,Farmer only,Female,0
APAYAO,Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
APAYAO,Pigs or swine,Farmer only,Female,312
APAYAO,Rabbits and hares,Farmer only,Female,1
APAYAO,Sheep,Farmer only,Female,0
ABRA,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"4,908"
ABRA,Cattle,Farmers who are farm laborers and/or fishermen,Male,"4,874"
ABRA,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,4
ABRA,Goats,Farmers who are farm laborers and/or fishermen,Male,"3,451"
ABRA,Horses,Farmers who are farm laborers and/or fishermen,Male,164
ABRA,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"4,489"
ABRA,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
ABRA,Sheep,Farmers who are farm laborers and/or fishermen,Male,3
AGUSAN DEL SUR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"1,902"
AGUSAN DEL SUR,Cattle,Farmers who are farm laborers and/or fishermen,Male,379
AGUSAN DEL SUR,Dogs and cats,Farmers who are farm laborers and/or fishermen,Male,0
AGUSAN DEL SUR,Goats,Farmers who are farm laborers and/or fishermen,Male,965
AGUSAN DEL SUR,Horses,Farmers who are farm laborers and/or fishermen,Male,58
AGUSAN DEL SUR,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Male,1
AGUSAN DEL SUR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,2
AGUSAN DEL SUR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"8,064"
AGUSAN DEL SUR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,6
AGUSAN DEL SUR,Sheep,Farmers who are farm laborers and/or fishermen,Male,2
AGUSAN DEL SUR,Silkworms,Farmers who are farm laborers and/or fishermen,Male,1
CAMARINES SUR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"9,882"
